Time,Theta_SW,Theta_H,Theta_A,Theta_S,K_H,K_A,B_H,B_A
0.32,0.46155759,0.314566561,0.949235418,0.462641229,0.5,0.5,0.1,0.1
0.322,0.464448274,0.316464401,0.948604387,0.465438162,0.5,0.5,0.1,0.1
0.324,0.467303223,0.318360976,0.947969561,0.468233707,0.5,0.5,0.1,0.1
0.326,0.470120781,0.320256277,0.947330944,0.471029378,0.5,0.5,0.1,0.1
0.328,0.472900674,0.322150297,0.946688537,0.473825316,0.5,0.5,0.1,0.1
0.33,0.475643996,0.324043028,0.946042344,0.476620302,0.5,0.5,0.1,0.1
0.332,0.478353105,0.325934464,0.945392366,0.47941186,0.5,0.5,0.1,0.1
0.334,0.481031424,0.327824595,0.944738607,0.482196461,0.5,0.5,0.1,0.1
0.336,0.483683169,0.329713416,0.944081068,0.484969783,0.5,0.5,0.1,0.1
0.338,0.486313033,0.331600917,0.943419754,0.487727043,0.5,0.5,0.1,0.1
0.34,0.488925834,0.333487092,0.942754666,0.490463336,0.5,0.5,0.1,0.1
0.342,0.491526163,0.335371933,0.942085806,0.493173992,0.5,0.5,0.1,0.1
0.344,0.494118058,0.337255433,0.941413179,0.495854902,0.5,0.5,0.1,0.1
0.346,0.49670472,0.339137583,0.940736785,0.498502802,0.5,0.5,0.1,0.1
0.348,0.499288297,0.341018377,0.940056629,0.501115487,0.5,0.5,0.1,0.1
0.35,0.501869746,0.342897807,0.939372713,0.503691949,0.5,0.5,0.1,0.1
0.352,0.504448785,0.344775866,0.938685039,0.506232427,0.5,0.5,0.1,0.1
0.354,0.507023938,0.346652545,0.93799361,0.508738363,0.5,0.5,0.1,0.1
0.356,0.509592654,0.348527838,0.93729843,0.511212275,0.5,0.5,0.1,0.1
0.358,0.512151518,0.350401736,0.9365995,0.513657558,0.5,0.5,0.1,0.1
0.36,0.514696504,0.352274233,0.935896824,0.516078219,0.5,0.5,0.1,0.1
0.362,0.51722328,0.354145321,0.935190404,0.518478582,0.5,0.5,0.1,0.1
0.364,0.519727519,0.356014992,0.934480243,0.520862967,0.5,0.5,0.1,0.1
0.366,0.522205216,0.35788324,0.933766345,0.523235383,0.5,0.5,0.1,0.1
0.368,0.524652965,0.359750055,0.933048711,0.525599244,0.5,0.5,0.1,0.1
0.37,0.527068192,0.361615432,0.932327346,0.527957136,0.5,0.5,0.1,0.1
0.372,0.529449331,0.363479362,0.931602251,0.530310645,0.5,0.5,0.1,0.1
0.374,0.531795912,0.365341838,0.930873429,0.532660266,0.5,0.5,0.1,0.1
0.376,0.534108579,0.367202853,0.930140884,0.535005387,0.5,0.5,0.1,0.1
0.378,0.536389023,0.3690624,0.929404619,0.537344351,0.5,0.5,0.1,0.1
0.38,0.538639842,0.370920469,0.928664636,0.539674602,0.5,0.5,0.1,0.1
0.382,0.540864342,0.372777056,0.927920938,0.54199288,0.5,0.5,0.1,0.1
0.384,0.543066285,0.374632151,0.927173528,0.544295476,0.5,0.5,0.1,0.1
0.386,0.545249615,0.376485747,0.92642241,0.546578502,0.5,0.5,0.1,0.1
0.388,0.547418169,0.378337838,0.925667586,0.548838181,0.5,0.5,0.1,0.1
0.39,0.549575412,0.380188415,0.92490906,0.551071117,0.5,0.5,0.1,0.1
0.392,0.551724191,0.382037472,0.924146834,0.553274531,0.5,0.5,0.1,0.1
0.394,0.553866551,0.383885,0.923380911,0.555446456,0.5,0.5,0.1,0.1
0.396,0.556003599,0.385730993,0.922611295,0.557585864,0.5,0.5,0.1,0.1
0.398,0.55813545,0.387575443,0.921837988,0.559692726,0.5,0.5,0.1,0.1
0.4,0.560261237,0.389418342,0.921060994,0.561767996,0.5,0.5,0.1,0.1
0.402,0.562379196,0.391259684,0.920280316,0.563813532,0.5,0.5,0.1,0.1
0.404,0.564486811,0.393099461,0.919495956,0.565831947,0.5,0.5,0.1,0.1
0.406,0.566581016,0.394937666,0.918707919,0.567826409,0.5,0.5,0.1,0.1
0.408,0.568658422,0.39677429,0.917916207,0.569800411,0.5,0.5,0.1,0.1
0.41,0.570715577,0.398609328,0.917120823,0.571757514,0.5,0.5,0.1,0.1
0.412,0.572749216,0.400442771,0.91632177,0.573701097,0.5,0.5,0.1,0.1
0.414,0.574756496,0.402274613,0.915519053,0.57563412,0.5,0.5,0.1,0.1
0.416,0.576735195,0.404104845,0.914712673,0.577558923,0.5,0.5,0.1,0.1
0.418,0.578683868,0.405933461,0.913902634,0.579477076,0.5,0.5,0.1,0.1
0.42,0.580601938,0.407760453,0.91308894,0.581389281,0.5,0.5,0.1,0.1
0.422,0.582489729,0.409585814,0.912271594,0.583295348,0.5,0.5,0.1,0.1
0.424,0.584348426,0.411409537,0.911450598,0.585194223,0.5,0.5,0.1,0.1
